ID_Seller;Flujo_Caja
10401183; 2.217.967 
10381105; 2.217.635 
10034721; 2.215.890 
10128999; 2.211.556 
10185930; 2.209.928 
10093448; 2.209.403 
10299985; 2.209.255 
10185684; 2.205.791 
10220088; 2.204.430 
10242664; 2.202.304 
10437775; 2.200.411 
10279427; 2.197.494 
89942; 2.196.616 
10273909; 2.196.199 
10219738; 2.189.381 
10322409; 2.188.763 
10291687; 2.186.984 
10168324; 2.185.951 
10045385; 2.183.704 
10267915; 2.183.619 
10478611; 2.182.646 
10284431; 2.182.423 
10189753; 2.178.580 
10112789; 2.172.763 
10195120; 2.171.655 
10251017; 2.169.998 
10098036; 2.169.250 
10091818; 2.168.755 
10206238; 2.168.124 
10037887; 2.168.044 
10158142; 2.166.772 
10352078; 2.166.231 
10402123; 2.165.723 
10387074; 2.163.127 
133171; 2.161.872 
10082755; 2.160.765 
10337165; 2.159.003 
10246591; 2.158.948 
10274692; 2.156.613 
10351253; 2.156.021 
10012521; 2.154.901 
10378104; 2.154.762 
10296422; 2.153.606 
10149049; 2.152.868 
2701; 2.151.921 
10163107; 2.151.585 
10282290; 2.149.233 
10216983; 2.144.093 
10189675; 2.141.449 
10247383; 2.141.134 
10278766; 2.140.780 
10179812; 2.139.913 
10387038; 2.138.932 
10080211; 2.138.808 
10033558; 2.138.570 
10319207; 2.134.737 
10411604; 2.134.028 
10242736; 2.132.552 
10325533; 2.128.945 
10408680; 2.128.897 
10331826; 2.128.233 
10341448; 2.126.882 
10065143; 2.124.042 
10206288; 2.122.104 
10361648; 2.121.560 
10305597; 2.120.765 
72897; 2.120.710 
10419720; 2.120.177 
10218723; 2.118.695 
10204770; 2.118.442 
10327118; 2.114.994 
10025348; 2.113.863 
10306581; 2.111.781 
10354428; 2.111.272 
10224569; 2.109.304 
10134436; 2.109.287 
10366192; 2.105.401 
10142970; 2.101.884 
10182749; 2.097.837 
6938; 2.097.293 
10059728; 2.097.266 
2780; 2.097.168 
10373101; 2.096.804 
10247949; 2.095.203 
10301285; 2.092.969 
10380879; 2.092.792 
10197093; 2.091.933 
10146587; 2.090.569 
10249748; 2.089.184 
10173291; 2.079.967 
10289439; 2.079.837 
10353162; 2.078.340 
10387480; 2.078.286 
10240623; 2.078.204 
10386289; 2.077.093 
10260684; 2.076.642 
10357850; 2.075.906 
10301644; 2.071.052 
10419278; 2.069.448 
10269984; 2.069.023 
10259770; 2.065.862 
10308180; 2.065.364 
10063053; 2.064.464 
10355580; 2.063.593 
10282277; 2.062.522 
10297186; 2.061.371 
10404743; 2.061.279 
10136064; 2.056.782 
10369731; 2.054.671 
10098028; 2.053.981 
10254049; 2.053.295 
10356191; 2.051.608 
10290337; 2.051.434 
10281313; 2.048.830 
34467; 2.046.495 
10371340; 2.043.005 
10003333; 2.042.560 
10295403; 2.040.194 
10129351; 2.039.747 
10215797; 2.039.639 
10225508; 2.039.223 
10078242; 2.038.820 
10308595; 2.033.144 
10291942; 2.032.890 
10350376; 2.032.333 
10354135; 2.032.300 
10212468; 2.031.608 
10291361; 2.030.980 
10364415; 2.028.318 
10304017; 2.022.531 
10193921; 2.021.762 
10028682; 2.020.790 
10293840; 2.020.640 
10357522; 2.019.029 
10273054; 2.016.779 
10093495; 2.012.337 
10239917; 2.008.842 
10227938; 2.007.416 
